DISTRICT,D200A001S15R,D300A001S15R,D400A001S15R,DA00A001S15R,DB00A001S15R,DE00A001S15R,DF00A001S15R,DH00A001S15R,DI00A001S15R,DL00A001S15R,DM00A001S15R,DR00A001S15R,DS00A001S15R,DW00A001S15R
'227803,100,88,.,71,56,62,69,62,-1,45,73,55,50,93
'227804,92,95,.,89,76,82,91,85,.,72,86,75,53,94
'227805,100,.,.,79,79,79,85,88,.,.,73,62,83,-1
'227806,-1,.,.,58,43,34,64,37,.,-1,51,35,-1,79
'227814,100,96,.,96,92,.,95,95,-1,.,97,85,54,96
'227816,90,94,.,81,80,74,83,74,100,56,78,67,55,88
'227817,-1,100,.,70,67,69,73,69,-1,55,68,60,-1,83
'227819,-1,-1,.,86,86,79,87,84,.,68,86,78,47,94
'227820,75,83,.,78,85,78,80,78,.,64,76,70,47,89
'227821,39,-1,.,75,43,59,76,68,.,33,74,57,46,83
'227824,-1,.,.,66,64,67,68,67,.,55,65,61,59,76
'227825,-1,.,.,77,72,76,76,77,-1,77,78,67,80,96
'227826,-1,-1,.,77,-1,64,74,65,.,50,80,53,-1,93
'227827,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901,91,91,93,79,67,68,81,72,78,57,77,61,53,95
'227904,84,91,78,80,72,71,82,75,80,61,77,65,38,90
'227907,65,83,100,62,58,59,66,60,63,44,58,50,25,77
'227909,97,98,-1,97,97,93,98,95,96,85,97,87,82,97
'227910,79,75,-1,66,62,65,71,66,66,51,62,56,36,72
'227912,83,100,-1,89,64,81,91,84,-1,62,88,72,81,91
'227913,97,98,-1,95,87,80,96,86,94,63,94,83,78,97
