Date,Austin House Price Index
1/1/2010,194.17
4/1/2010,194.09
7/1/2010,195.54
10/1/2010,194.18
1/1/2011,190.33
4/1/2011,190.74
7/1/2011,192.54
10/1/2011,194.62
1/1/2012,194.05
4/1/2012,195.85
7/1/2012,199.1
10/1/2012,201.6
1/1/2013,205.13
4/1/2013,210.96
7/1/2013,217.71
10/1/2013,221.87
1/1/2014,227.09
4/1/2014,238.07
7/1/2014,243.26
10/1/2014,245.88
1/1/2015,249.79
4/1/2015,259.6
7/1/2015,267.39
10/1/2015,268.77
1/1/2016,274.5
4/1/2016,282.59
7/1/2016,289.7
10/1/2016,290.89
1/1/2017,294.71
4/1/2017,305.2
7/1/2017,308.39
10/1/2017,310.94
1/1/2018,314.69
4/1/2018,322.9
7/1/2018,327.69
10/1/2018,327.6
1/1/2019,335.33
4/1/2019,343.39
7/1/2019,349.12
10/1/2019,353.38
1/1/2020,355.21
4/1/2020,361.73
